                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78052,                0.51321,                 1.0641,                0.65467,                0.82142,                0.79097,                0.48427,                 1.8289,                0.80121,                 2.2077,             0.00011195,             0.00011195,             0.00011195
                     36,                 0.7592,                0.49894,                 1.0568,                0.69137,                0.69494,                0.72049,                0.43659,                 1.8679,                0.90058,                 2.2363,             0.00010556,             0.00010556,             0.00010556
                     37,                0.75257,                0.48748,                 1.0488,                0.87915,                 0.6943,                0.78129,                0.44779,                 1.8596,                0.88197,                 2.2461,             9.9161e-05,             9.9161e-05,             9.9161e-05
                     38,                0.72742,                0.47377,                 1.0308,                0.76232,                0.67439,                0.77844,                0.45869,                 1.8853,                0.80515,                 2.3074,             9.2766e-05,             9.2766e-05,             9.2766e-05
                     39,                 0.7178,                0.46966,                 1.0274,                0.72131,                0.79492,                0.77823,                 0.4538,                 1.8353,                0.80657,                  2.252,              8.637e-05,              8.637e-05,              8.637e-05
                     40,                0.69862,                0.44878,                 1.0196,                0.70517,                0.80547,                0.77454,                0.45917,                 1.8685,                0.77757,                 2.3357,             7.9975e-05,             7.9975e-05,             7.9975e-05
                     41,                0.62427,                0.35182,                0.97828,                 0.8732,                0.71824,                0.76911,                0.48979,                 1.8314,                0.91616,                 2.2844,             7.3579e-05,             7.3579e-05,             7.3579e-05
                     42,                0.58423,                0.31963,                0.94801,                0.77131,                 0.7656,                0.76443,                0.49122,                 1.7645,                 1.0416,                  2.151,             6.7184e-05,             6.7184e-05,             6.7184e-05
                     43,                0.57234,                0.31811,                0.93772,                0.73597,                0.67234,                0.73046,                0.44326,                 1.8781,                0.96484,                   2.38,             6.0789e-05,             6.0789e-05,             6.0789e-05
                     44,                0.54773,                0.30644,                0.92849,                0.73856,                0.66915,                 0.7356,                 0.4701,                 1.7738,                0.93714,                 2.2323,             5.4393e-05,             5.4393e-05,             5.4393e-05
                     45,                0.52987,                0.29211,                0.91612,                0.80132,                0.76012,                0.78355,                0.48567,                 1.7875,                0.96748,                 2.2369,             4.7998e-05,             4.7998e-05,             4.7998e-05
                     46,                0.50351,                0.27993,                0.90361,                0.80755,                0.76637,                0.77907,                 0.4908,                 1.7114,                0.93312,                 2.2091,             4.1602e-05,             4.1602e-05,             4.1602e-05
                     47,                0.49697,                0.28139,                0.90357,                0.74307,                 0.7554,                0.76146,                0.48469,                 1.7568,                0.94396,                 2.3028,             3.5207e-05,             3.5207e-05,             3.5207e-05
                     48,                0.47991,                0.26945,                0.89026,                0.70501,                0.77899,                0.77661,                0.49347,                 1.7442,                0.84968,                 2.2844,             2.8812e-05,             2.8812e-05,             2.8812e-05
                     49,                0.46359,                0.26016,                0.88418,                 0.7244,                0.68099,                0.73535,                0.48715,                 1.7778,                0.86434,                 2.3388,             2.2416e-05,             2.2416e-05,             2.2416e-05
                     50,                0.45487,                0.25393,                0.88205,                0.67114,                0.76695,                0.75045,                0.48922,                 1.7358,                 0.8402,                 2.3066,             1.6021e-05,             1.6021e-05,             1.6021e-05
